date,premise_code,item_code,price,year,month,previous_price,next_price,Price_Increase,price_change,price_change_pct,item,state,district,premise_type
2025-02-27,18141,1555,29.8,2025,2,29.8,28.8,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Johor,Batu Pahat,Pasar Mini
2025-02-28,15952,114,7.9,2025,2,7.9,7.9,0,0.0,0.0,TOMATO,Kedah,Kota Setar,Pasar Raya / Supermarket
2025-02-28,17313,1476,8.9,2025,2,8.9,8.9,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Sarawak,Saratok,Pasar Raya / Supermarket
2025-03-02,20785,1559,5.9,2025,3,5.9,5.9,0,0.0,0.0,KANGKUNG,W.P. Putrajaya,Cyberjaya,Pasar Raya / Supermarket
2025-03-03,1285,129,9.0,2025,3,9.0,9.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Kapit,Kedai Runcit
2025-03-03,3274,1110,13.8,2025,3,13.8,13.8,0,0.0,0.0,TELUR AYAM GRED B,Sabah,Tuaran,Pasar Mini
2025-03-03,16826,1559,8.39,2025,3,9.99,8.39,0,-1.5999999999999996,-16.016016016016014,KANGKUNG,Terengganu,Kuala Terengganu,Pasar Mini
2025-03-03,17566,1555,30.0,2025,3,34.0,39.0,1,-4.0,-11.76470588235294,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Terengganu,Dungun,Kedai Runcit
2025-03-03,13627,1110,12.0,2025,3,11.4,11.1,0,0.5999999999999996,5.263157894736839,TELUR AYAM GRED B,Kelantan,Tanah Merah,Pasar Mini
2025-03-03,1941,1131,4.0,2025,3,4.0,4.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sarawak,Song,Kedai Runcit
2025-03-03,21215,129,4.1,2025,3,4.1,4.1,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sabah,Lahad Datu,Kedai Runcit
2025-03-03,20968,1555,26.0,2025,3,26.0,26.0,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Perak,"Larut, Matang & Selama",Pasar Mini
2025-03-03,17202,1110,12.0,2025,3,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,W.P. Kuala Lumpur,Setiawangsa,Kedai Runcit
2025-03-03,2130,129,4.0,2025,3,4.0,4.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Pulau Pinang,Timur Laut,Kedai Runcit
2025-03-03,18074,1131,4.5,2025,3,4.5,4.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sarawak,Balingian,Kedai Runcit
2025-03-03,20775,114,8.0,2025,3,8.0,10.0,1,0.0,0.0,TOMATO,Terengganu,Dungun,Kedai Runcit
2025-03-03,17195,1476,20.0,2025,3,20.0,20.0,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),W.P. Kuala Lumpur,Lembah Pantai,Kedai Runcit
2025-03-04,9871,1,10.0,2025,3,10.0,10.0,0,0.0,0.0,AYAM BERSIH - STANDARD,Pulau Pinang,Barat Daya,Pasar Basah 
2025-03-05,21035,1,8.69,2025,3,8.69,8.99,1,0.0,0.0,AYAM BERSIH - STANDARD,Johor,Pontian,Pasar Raya / Supermarket
2025-03-06,11630,1476,12.5,2025,3,12.5,12.5,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),W.P. Kuala Lumpur,Kepong,Pasar Raya / Supermarket
2025-03-07,18346,114,8.6,2025,3,8.6,8.6,0,0.0,0.0,TOMATO,Sarawak,Mukah,Pasar Raya / Supermarket
2025-03-09,4303,1476,13.0,2025,3,13.0,22.0,1,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Sarawak,Kuching,Pasar Basah 
2025-03-09,20712,114,9.5,2025,3,9.5,9.5,0,0.0,0.0,TOMATO,Sabah,Nabawan,Pasar Raya / Supermarket
2025-03-09,729,1110,12.0,2025,3,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kelantan,Kota Bharu,Hypermarket
2025-03-10,16078,129,6.0,2025,3,6.0,6.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Kapit,Kedai Runcit
2025-03-10,11558,129,5.0,2025,3,5.5,5.5,1,-0.5,-9.090909090909092,BAWANG BESAR KUNING/HOLLAND,Kelantan,Pasir Puteh,Pasar Mini
2025-03-10,11558,1131,4.0,2025,3,4.0,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Kelantan,Pasir Puteh,Pasar Mini
2025-03-10,17298,129,5.5,2025,3,5.5,5.5,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sabah,Ranau,Pasar Mini
2025-03-10,13475,1476,17.0,2025,3,18.0,10.0,0,-1.0,-5.555555555555555,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Kelantan,Kuala Krai,Kedai Runcit
